ano,Clave,ES,EST, Muni , Total , H , M ,,,, Total , H , M ,,,Clave,ES,EST, Muni , Total , H , M ,,,,,,,,
,LA-Municipio Andrés Eloy Blanco,LA,LARA,Municipio Andrés Eloy Blanco,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,LA-Municipio Crespo,LA,LARA,Municipio Crespo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,LA-Municipio Iribarren,LA,LARA,Municipio Iribarren,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,LA-Municipio Jiménez,LA,LARA,Municipio Jiménez,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,LA-Municipio Moran,LA,LARA,Municipio Moran,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,LA-Municipio Palavecino,LA,LARA,Municipio Palavecino,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,LA-Municipio Simón Planas,LA,LARA,Municipio Simón Planas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,LA-Municipio Torres,LA,LARA,Municipio Torres,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,LA-Municipio Urdaneta,LA,LARA,Municipio Urdaneta,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Alberto Adrián,ME,MERIDA,Municipio Alberto Adrián,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Andrés Bello,ME,MERIDA,Municipio Andrés Bello,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Antonio Pinto Salinas,ME,MERIDA,Municipio Antonio Pinto Salinas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Aricagua,ME,MERIDA,Municipio Aricagua,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Arzobispo Chacón,ME,MERIDA,Municipio Arzobispo Chacón,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Campo  Elías,ME,MERIDA,Municipio Campo  Elías,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Cardenal Quintero,ME,MERIDA,Municipio Cardenal Quintero,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Carracciolo Parra Olmedo,ME,MERIDA,Municipio Carracciolo Parra Olmedo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Guaraque,ME,MERIDA,Municipio Guaraque,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Julio Cesar Salas,ME,MERIDA,Municipio Julio Cesar Salas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Justo Briceño,ME,MERIDA,Municipio Justo Briceño,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Libertador,ME,MERIDA,Municipio Libertador,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Miranda,ME,MERIDA,Municipio Miranda,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Obispo Ramos de Lora,ME,MERIDA,Municipio Obispo Ramos de Lora,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Padre Noguera,ME,MERIDA,Municipio Padre Noguera,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Pueblo Llano,ME,MERIDA,Municipio Pueblo Llano,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Rangel,ME,MERIDA,Municipio Rangel,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Rivas Dávila,ME,MERIDA,Municipio Rivas Dávila,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Santos Marquina,ME,MERIDA,Municipio Santos Marquina,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Sucre,ME,MERIDA,Municipio Sucre,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Tovar,ME,MERIDA,Municipio Tovar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Tulio Febres Cordero,ME,MERIDA,Municipio Tulio Febres Cordero,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ME-Municipio Zea,ME,MERIDA,Municipio Zea,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Acevedo,MI,MIRANDA,Municipio Acevedo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Andrés Bello,MI,MIRANDA,Municipio Andrés Bello,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Baruta,MI,MIRANDA,Municipio Baruta,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Brion,MI,MIRANDA,Municipio Brion,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Buroz,MI,MIRANDA,Municipio Buroz,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Carrizal,MI,MIRANDA,Municipio Carrizal,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Chacao,MI,MIRANDA,Municipio Chacao,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Cristóbal Rojas,MI,MIRANDA,Municipio Cristóbal Rojas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio El Hatillo,MI,MIRANDA,Municipio El Hatillo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Guaicaipuro,MI,MIRANDA,Municipio Guaicaipuro,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Independencia,MI,MIRANDA,Municipio Independencia,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Lander,MI,MIRANDA,Municipio Lander,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Los Salías,MI,MIRANDA,Municipio Los Salías,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Páez,MI,MIRANDA,Municipio Páez,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Paz Castillo,MI,MIRANDA,Municipio Paz Castillo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Pedro Gual,MI,MIRANDA,Municipio Pedro Gual,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Plaza,MI,MIRANDA,Municipio Plaza,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Simón Bolívar,MI,MIRANDA,Municipio Simón Bolívar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Sucre,MI,MIRANDA,Municipio Sucre,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Urdaneta,MI,MIRANDA,Municipio Urdaneta,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MI-Municipio Zamora,MI,MIRANDA,Municipio Zamora,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MO-Municipio Acosta,MO,MONAGAS,Municipio Acosta,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MO-Municipio Aguasay,MO,MONAGAS,Municipio Aguasay,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MO-Municipio Bolívar,MO,MONAGAS,Municipio Bolívar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MO-Municipio Caripe,MO,MONAGAS,Municipio Caripe,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MO-Municipio Cedeño,MO,MONAGAS,Municipio Cedeño,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MO-Municipio Ezequiel Zamora,MO,MONAGAS,Municipio Ezequiel Zamora,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MO-Municipio Libertador,MO,MONAGAS,Municipio Libertador,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MO-Municipio Maturín,MO,MONAGAS,Municipio Maturín,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MO-Municipio Piar,MO,MONAGAS,Municipio Piar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MO-Municipio Punceres,MO,MONAGAS,Municipio Punceres,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MO-Municipio Santa Bárbara,MO,MONAGAS,Municipio Santa Bárbara,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MO-Municipio Sotillo,MO,MONAGAS,Municipio Sotillo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,MO-Municipio Uracoa,MO,MONAGAS,Municipio Uracoa,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,NU-Municipio Antolin del Campo,NU,NUEVA ESPARTA,Municipio Antolin del Campo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,NU-Municipio Arismendi,NU,NUEVA ESPARTA,Municipio Arismendi,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,NU-Municipio Díaz,NU,NUEVA ESPARTA,Municipio Díaz,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,NU-Municipio García,NU,NUEVA ESPARTA,Municipio García,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,NU-Municipio Gómez,NU,NUEVA ESPARTA,Municipio Gómez,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,NU-Municipio Maneiro,NU,NUEVA ESPARTA,Municipio Maneiro,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,NU-Municipio Marcano,NU,NUEVA ESPARTA,Municipio Marcano,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,NU-Municipio Mariño,NU,NUEVA ESPARTA,Municipio Mariño,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,NU-Municipio Península de Macanao,NU,NUEVA ESPARTA,Municipio Península de Macanao,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,NU-Municipio Tubores,NU,NUEVA ESPARTA,Municipio Tubores,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,NU-Municipio Villalba,NU,NUEVA ESPARTA,Municipio Villalba,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio Agua Blanca,PO,PORTUGUESA,Municipio Agua Blanca,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio Araure,PO,PORTUGUESA,Municipio Araure,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio Esteller,PO,PORTUGUESA,Municipio Esteller,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio Guanare,PO,PORTUGUESA,Municipio Guanare,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio Guanarito,PO,PORTUGUESA,Municipio Guanarito,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio Monseñor José Vicente de Unda,PO,PORTUGUESA,Municipio Monseñor José Vicente de Unda,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio Ospino,PO,PORTUGUESA,Municipio Ospino,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio Páez,PO,PORTUGUESA,Municipio Páez,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio Papelón,PO,PORTUGUESA,Municipio Papelón,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio San Genaro de Boconoito,PO,PORTUGUESA,Municipio San Genaro de Boconoito,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio San Rafael de Onoto,PO,PORTUGUESA,Municipio San Rafael de Onoto,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio Santa Rosalía,PO,PORTUGUESA,Municipio Santa Rosalía,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio Sucre,PO,PORTUGUESA,Municipio Sucre,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,PO-Municipio Turen,PO,PORTUGUESA,Municipio Turen,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Andrés Eloy Blanco,SU,SUCRE,Municipio Andrés Eloy Blanco,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Andrés Mata,SU,SUCRE,Municipio Andrés Mata,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Arismendi,SU,SUCRE,Municipio Arismendi,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Benítez,SU,SUCRE,Municipio Benítez,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Bermúdez,SU,SUCRE,Municipio Bermúdez,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Bolívar,SU,SUCRE,Municipio Bolívar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Cajigal,SU,SUCRE,Municipio Cajigal,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Cruz Salmeron Acosta,SU,SUCRE,Municipio Cruz Salmeron Acosta,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Libertador,SU,SUCRE,Municipio Libertador,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Mariño,SU,SUCRE,Municipio Mariño,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Mejia,SU,SUCRE,Municipio Mejia,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Montes,SU,SUCRE,Municipio Montes,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Ribero,SU,SUCRE,Municipio Ribero,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Sucre,SU,SUCRE,Municipio Sucre,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,SU-Municipio Valdez,SU,SUCRE,Municipio Valdez,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Andrés Bello,TA,TACHIRA,Municipio Andrés Bello,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Antonio Rómulo Acosta,TA,TACHIRA,Municipio Antonio Rómulo Acosta,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Ayacucho,TA,TACHIRA,Municipio Ayacucho,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Bolívar,TA,TACHIRA,Municipio Bolívar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Cárdenas,TA,TACHIRA,Municipio Cárdenas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Córdoba,TA,TACHIRA,Municipio Córdoba,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Fernández Feo,TA,TACHIRA,Municipio Fernández Feo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Francisco de Miranda,TA,TACHIRA,Municipio Francisco de Miranda,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio García de Hevia,TA,TACHIRA,Municipio García de Hevia,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Guasimos,TA,TACHIRA,Municipio Guasimos,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Independencia,TA,TACHIRA,Municipio Independencia,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Jáuregui,TA,TACHIRA,Municipio Jáuregui,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio José María Vargas,TA,TACHIRA,Municipio José María Vargas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Junín,TA,TACHIRA,Municipio Junín,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Libertad,TA,TACHIRA,Municipio Libertad,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Libertador,TA,TACHIRA,Municipio Libertador,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Lobatera,TA,TACHIRA,Municipio Lobatera,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Michelena,TA,TACHIRA,Municipio Michelena,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Panamericano,TA,TACHIRA,Municipio Panamericano,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Pedro María Ureña,TA,TACHIRA,Municipio Pedro María Ureña,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Rafael Urdaneta,TA,TACHIRA,Municipio Rafael Urdaneta,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Samuel Darío Maldonado,TA,TACHIRA,Municipio Samuel Darío Maldonado,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio San Cristóbal,TA,TACHIRA,Municipio San Cristóbal,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio San Judas Tadeo,TA,TACHIRA,Municipio San Judas Tadeo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Seboruco,TA,TACHIRA,Municipio Seboruco,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Simón Rodríguez,TA,TACHIRA,Municipio Simón Rodríguez,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Sucre,TA,TACHIRA,Municipio Sucre,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Torbes,TA,TACHIRA,Municipio Torbes,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TA-Municipio Uribante,TA,TACHIRA,Municipio Uribante,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Andrés Bello,TR,TRUJILLO,Municipio Andrés Bello,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Bocono,TR,TRUJILLO,Municipio Bocono,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Bolívar,TR,TRUJILLO,Municipio Bolívar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Candelaria,TR,TRUJILLO,Municipio Candelaria,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Carache,TR,TRUJILLO,Municipio Carache,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Escuqué,TR,TRUJILLO,Municipio Escuqué,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio José Felipe Márquez Cañizales,TR,TRUJILLO,Municipio José Felipe Márquez Cañizales,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Juan Vicente Campo Elías,TR,TRUJILLO,Municipio Juan Vicente Campo Elías,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio La Ceiba,TR,TRUJILLO,Municipio La Ceiba,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Miranda,TR,TRUJILLO,Municipio Miranda,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Monte Carmelo,TR,TRUJILLO,Municipio Monte Carmelo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Motatán,TR,TRUJILLO,Municipio Motatán,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Pampan,TR,TRUJILLO,Municipio Pampan,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Pampanito,TR,TRUJILLO,Municipio Pampanito,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Rafael Rangel,TR,TRUJILLO,Municipio Rafael Rangel,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio San Rafael de Carvajal,TR,TRUJILLO,Municipio San Rafael de Carvajal,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Sucre,TR,TRUJILLO,Municipio Sucre,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Trujillo,TR,TRUJILLO,Municipio Trujillo,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Urdaneta,TR,TRUJILLO,Municipio Urdaneta,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,TR-Municipio Varela,TR,TRUJILLO,Municipio Varela,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,VA-Parroquia Caraballeda,VA,VARGAS,Parroquia Caraballeda,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,VA-Parroquia Carayaca,VA,VARGAS,Parroquia Carayaca,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,VA-Parroquia Carlos Soublette,VA,VARGAS,Parroquia Carlos Soublette,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,VA-Parroquia Caruao,VA,VARGAS,Parroquia Caruao,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,VA-Parroquia Catia La Mar,VA,VARGAS,Parroquia Catia La Mar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,VA-Parroquia El Junko,VA,VARGAS,Parroquia El Junko,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,VA-Parroquia La Guaira,VA,VARGAS,Parroquia La Guaira,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,VA-Parroquia Macuto,VA,VARGAS,Parroquia Macuto,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,VA-Parroquia Maiquetía,VA,VARGAS,Parroquia Maiquetía,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,VA-Parroquia Naiquatá,VA,VARGAS,Parroquia Naiquatá,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,VA-Parroquia Raúl Leoni,VA,VARGAS,Parroquia Raúl Leoni,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio Arístides Bastidas,YA,YARACUY,Municipio Arístides Bastidas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio Bolívar,YA,YARACUY,Municipio Bolívar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio Bruzual,YA,YARACUY,Municipio Bruzual,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio Cocorote,YA,YARACUY,Municipio Cocorote,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio Independencia,YA,YARACUY,Municipio Independencia,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio José Antonio Páez,YA,YARACUY,Municipio José Antonio Páez,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio La Trinidad,YA,YARACUY,Municipio La Trinidad,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio Manuel Monge,YA,YARACUY,Municipio Manuel Monge,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio Nirgua,YA,YARACUY,Municipio Nirgua,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio Peña,YA,YARACUY,Municipio Peña,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio San Felipe,YA,YARACUY,Municipio San Felipe,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio Sucre,YA,YARACUY,Municipio Sucre,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio Urachiche,YA,YARACUY,Municipio Urachiche,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,YA-Municipio Veroes,YA,YARACUY,Municipio Veroes,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ZU-Municipio Almirante Padilla,ZU,ZULIA,Municipio Almirante Padilla,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ZU-Municipio Baralt,ZU,ZULIA,Municipio Baralt,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,ZU-Municipio Cabimas,ZU,ZULIA,Municipio Cabimas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
